id,year,one_int_loo,two_int_loo,three_int_loo,four_int_loo,five_int_loo
2H_2nd,2H_2nd-2021-2022,-1953.50467365967,-1890.67623384685,-9999,-1632.86851348721,-9999
9P,9P-2021-2022,-1901.75212075766,-1795.48079427936,-1160.02876988296,-9999,-9999
8N,8N-2021-2022,-1306.62661269744,-9999,-1181.35518118332,-9999,-1116.59636345254
9N,9N-2021-2022,-2337.25613204451,-1614.11977013644,-9999,-9999,-1430.38176414606
4M,4M-2021-2022,-1206.20024285298,-1185.05001407106,-1135.70336929575,-921.849993610974,-888.711367056054
5M,5M-2021-2022,-920.84582696807,-9999,-9999,-9999,-9999
5P,5P-2021-2022,-2355.68968160615,-9999,-1638.91415859418,-1602.74735012039,-1401.12709245081
6M,6M-2021-2022,-1999.95278825478,-1507.39441366416,-9999,-1216.83805145092,-1184.63894764944
7M,7M-2021-2022,-1464.92361003682,-1424.54992928269,-1331.98185035916,-9999,-9999
8M,8M-2021-2022,-694.205052849147,-661.884864050645,-573.207489971393,-502.019974931453,-9999
6R_2nd,6R_2nd-2021-2022,-1278.6566169306,-1235.93737501926,-910.464273160605,-825.099424098586,-816.963826802348
0L_2nd,0L_2nd-2021-2022,-2321.46877207017,-9999,-1548.23762717708,-1537.53606904877,-1506.40175102931
8E_2nd,8E_2nd-2021-2022,-2323.59259213716,-2183.54448784097,-1498.96728461385,-1471.20008554907,-9999
7P,7P-2021-2022,-1333.40897923346,-1233.40130586009,-961.863761754646,-943.524127151691,-785.59683981968
8P,8P-2021-2022,-1617.11614795205,-1380.59673997308,-1079.25313862326,-1003.09280591272,-993.223362249655
9M,9M-2021-2022,-125.21088955159,-123.098931838759,-73.7066448513408,-38.4267364779139,-26.6749845354021
9C,9C-2021-2022,-1214.69505505293,-1123.57604821422,-776.674303403099,-9999,-700.763852306935
0C_2nd,0C_2nd-2021-2022,-1067.07495779442,-1037.21537854008,-972.338329603608,-9999,-9999
5H_2nd,5H_2nd-2021-2022,-2454.1213569552,-9999,-2005.53479866372,-1947.84420285353,-1718.65404568534
6P,6P-2021-2022,-1556.8463927788,-1412.92594705384,-1043.8290373038,-1026.12555606308,-1023.69118859862
0N_2nd,0N_2nd-2021-2022,-2229.50003425303,-9999,-1797.56297951707,-1648.70434805433,-1642.14116705216
7L,7L-2021-2022,-922.694970730474,-814.269776801298,-750.263260852659,-9999,-650.416986690686
8L,8L-2021-2022,-1405.99334477688,-1224.82951884742,-1136.99307738546,-976.643393201,-849.189579329882
9L,9L-2021-2022,-865.566312630868,-771.458516657144,-647.295554108883,-583.735705865483,-567.50794665231
